step,phase,x,y,z
589,warmup,-1.893593,-2.272589,17.894399
590,warmup,-1.931492,-2.441222,17.460248
591,warmup,-1.982465,-2.620385,17.041794
592,warmup,-2.046257,-2.811423,16.639294
593,warmup,-2.122774,-3.015778,16.253109
594,warmup,-2.212074,-3.234981,15.883711
595,warmup,-2.314365,-3.470652,15.531705
596,warmup,-2.429994,-3.724507,15.197850
597,warmup,-2.559445,-3.998354,14.883079
598,warmup,-2.703336,-4.294091,14.588533
599,warmup,-2.862411,-4.613707,14.315589
600,warmup,-3.037541,-4.959274,14.065903
601,warmup,-3.229714,-5.332935,13.841452
602,warmup,-3.440036,-5.736886,13.644585
603,warmup,-3.669721,-6.173349,13.478081
604,warmup,-3.920084,-6.644529,13.345210
605,warmup,-4.192529,-7.152564,13.249809
606,warmup,-4.488532,-7.699445,13.196354
607,warmup,-4.809623,-8.286916,13.190043
608,warmup,-5.157353,-8.916350,13.236878
609,warmup,-5.533252,-9.588573,13.343742
610,warmup,-5.938785,-10.303655,13.518469
611,warmup,-6.375272,-11.060646,13.769889
612,warmup,-6.843809,-11.857247,14.107838
613,warmup,-7.345153,-12.689428,14.543116
614,warmup,-7.879580,-13.550962,15.087358
615,warmup,-8.446719,-14.432915,15.752787
616,warmup,-9.045338,-15.323073,16.551820
617,warmup,-9.673112,-16.205369,17.496462
618,warmup,-10.326337,-17.059334,18.597453
619,warmup,-10.999637,-17.859680,19.863126
620,warmup,-11.685641,-18.576109,21.297942
621,warmup,-12.374688,-19.173527,22.900735
